id,hint,exercise_id
28016f0f-cf84-40c6-afad-afa94128ae36,Mięśnie brzucha mocno napięte.,009769ae-3d28-4b46-86b3-67e9653e0cb1
aa2fe094-d208-47b3-8819-6ce697e9f2f6,Utrzymuj stałe napięcie mięśni klatki piersiowej.,009769ae-3d28-4b46-86b3-67e9653e0cb1
f110047c-59e2-43ab-9711-f85f142360c6,Skup się na prawidłowym oddychaniu.,009769ae-3d28-4b46-86b3-67e9653e0cb1
a1557c1a-3022-4345-998b-2133f5bd1bb3,Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.,009769ae-3d28-4b46-86b3-67e9653e0cb1
0d5d94b4-6e2a-4155-8d0a-1f52a343faac,Pamiętaj o utrzymywaniu napięcia mięśni brzucha i pośladków podczas całego ruchu.,11cb9bb3-a75a-4d53-b6c0-14cbbd211c56
0bf81cc5-bfd5-4313-ab38-abbea0f3a857,Cały czas kontroluj ruch opuszczania tułowia.,11cb9bb3-a75a-4d53-b6c0-14cbbd211c56
aec6b7c1-ff79-4cb6-9e46-6a7b086bb559,Dynamicznie i mocno podnoś tułów.,11cb9bb3-a75a-4d53-b6c0-14cbbd211c56
f42a2916-0c85-49bc-8e12-439fd2f0a62c,Utrzymuj głowę w równej linii z kręgosłupem (wzrok skierowany na podłoże).,11cb9bb3-a75a-4d53-b6c0-14cbbd211c56
83baf83e-48a8-409e-ba86-13b120a4d187,Tempo opuszczania ramion powinno być dwa razy wolniejsze niż tempo ich unoszenia.,673e326a-d1e9-47e5-8aae-0caa4cdedc6f
091b3db2-e64f-48b4-a26f-cf678dee9562,Utrzymuj stałe napięcie mięśni.,673e326a-d1e9-47e5-8aae-0caa4cdedc6f
d9be7660-101a-482f-8f6e-216a77e9fd82,Skup się na prawidłowym oddychaniu.,673e326a-d1e9-47e5-8aae-0caa4cdedc6f
98feb07d-5189-4d2b-9ae4-dbe40b3f7255,Bądź skoncentrowany.,673e326a-d1e9-47e5-8aae-0caa4cdedc6f
5774fadd-3725-4c81-b158-6ca92b08696b,Stopy mocno oprzyj o podłogę.,70ec97b0-4b56-4a7d-b3cf-ebd137825031
dc237f5d-c828-4ab6-a61e-617896b552ba,Utrzymuj stałe napięcie mięśni.,70ec97b0-4b56-4a7d-b3cf-ebd137825031
607583f9-186a-4918-b8e0-71132a1ba05b,Skup się na prawidłowym oddychaniu.,70ec97b0-4b56-4a7d-b3cf-ebd137825031
8c494bb2-d728-4422-b5f9-813db4ead4fb,Bądź skoncentrowany.,70ec97b0-4b56-4a7d-b3cf-ebd137825031
76bff658-9448-49fb-af14-e3727cc4eec0,Tempo opuszczania sztangielek powinno być dwa razy wolniejsze niż tempo wyciskania.,d2069358-05a2-4407-bfd6-bd7c15f2fa37
1a7c6f9e-c518-49d2-bf06-5f595f1232c5,Postaraj się nie wyginać nadmiernie nadgarstków.,d2069358-05a2-4407-bfd6-bd7c15f2fa37
916a4a1a-342c-49e0-aa2e-e292551f96ea,Dbaj o staw łokciowy"," nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem.,d2069358-05a2-4407-bfd6-bd7c15f2fa37
117b54a9-b61f-4c76-a3ec-9efb8aa51d0b,Przy wyciskaniu dużych ciężarów poproś o pomoc i asekurację.,d2069358-05a2-4407-bfd6-bd7c15f2fa37
b3d54b80-107b-4b87-a077-01edf450a0e1,Stopy mocno zaprzyj o podłogę.,a6ef8c07-2057-4440-9cca-6652388e2990
3751bc4b-a631-49ba-8f9c-81841fc38816,Postaraj się nie wyginać nadmiernie nadgarstków.,a6ef8c07-2057-4440-9cca-6652388e2990
2cd971ff-00a1-4555-ba52-6c6dbbb837e2,Dbaj o staw łokciowy"," nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem.,a6ef8c07-2057-4440-9cca-6652388e2990
d9c2d43f-a8db-48c5-a8f9-5ec11d546694,Skup się na prawidłowym oddychaniu.,a6ef8c07-2057-4440-9cca-6652388e2990
e0968d60-c0f0-4746-924b-f5422e6f2480,Stopy mocno zaprzyj o podłogę.,a2fd1e95-1940-4604-b8c1-27635fe290f2
836335f3-cb8a-4876-bcb3-d3563382d104,Dbając o staw łokciowy"," nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem.,a2fd1e95-1940-4604-b8c1-27635fe290f2
170fbdc8-7137-448b-9f25-369956b982b1,Tempo opuszczania sztangi powinno być dwa razy wolniejsze niż jej wyciskanie.,a2fd1e95-1940-4604-b8c1-27635fe290f2
e36ab24d-5150-4732-b720-35be05dc3f48,Wyciskając duże ciężary"," poproś o pomoc i asekurację.,a2fd1e95-1940-4604-b8c1-27635fe290f2
44cb3cff-df1a-4cc3-a29e-432f8ab26b6a,Mięśnie brzucha powinny być mocno napięte przez cały czas trwania ćwiczenia.,e0ea3f31-77c0-4330-aa3a-92b913dcfdf4
289cafe4-a288-402c-b8bc-566518c8418e,Ćwiczenie wykonuj powoli"," z pełnym wyczuciem zaangażowanej grupy mięśniowej.,e0ea3f31-77c0-4330-aa3a-92b913dcfdf4
70605396-4625-4add-9b33-7799e8e89eb4,Skup się podczas wykonywania ruchu.,e0ea3f31-77c0-4330-aa3a-92b913dcfdf4
983d8652-c6ae-443d-8322-9b6f7f27e369,Mięśnie brzucha powinny być mocno napięte przez cały czas trwania ćwiczenia.,91d04cf3-d5a8-4c9c-a192-8c7d767a6aec
03b3bb80-8470-4dbf-a547-e18cf3a510c1,Ćwiczenie wykonuj powoli"," z pełnym wyczuciem zaangażowanej grupy mięśniowej.,91d04cf3-d5a8-4c9c-a192-8c7d767a6aec
1d822ba4-2d3a-4e7c-85cf-109c00aa1f1d,Skup się podczas wykonywania ruchu.,91d04cf3-d5a8-4c9c-a192-8c7d767a6aec
82433bb3-778a-4eb3-8de6-8b3dcac6f7c4,Postaraj się skoncentrować napięcie na mięśniach brzucha.,91d04cf3-d5a8-4c9c-a192-8c7d767a6aec
6171a703-6d20-4aaf-99e0-20f059a3f532,Postaraj się unosić ramiona i nogi równocześnie.,56471b5a-5884-4ffc-b324-f031e58b40ef
a523d40b-bcb0-4d38-9fb4-cf86f411f825,Jeżeli utrzymanie prostych nóg będzie zbyt trudne"," ugnij nieznacznie nogi w kolanach i unieś je wyżej.,56471b5a-5884-4ffc-b324-f031e58b40ef
5a2ad236-bcbe-483c-adc9-a6caa549306f,Pamiętaj o mocnym wdechu przeponowym.,56471b5a-5884-4ffc-b324-f031e58b40ef
caeaa9c3-4e41-41ea-9a8a-4bf2f5c8d8ca,Mięśnie brzucha powinny być mocno napięte przez cały czas trwania ćwiczenia.,2616d501-e85d-4a62-a708-9f3060dee36d
bd12aa2f-e49a-415b-a435-bbb2545e5198,Ćwiczenie wykonuj powoli"," z pełnym wyczuciem zaangażowanej grupy mięśniowej,2616d501-e85d-4a62-a708-9f3060dee36d
200c0878-efa4-428e-910c-950533157af3,Skup się podczas wykonywania ruchu.,2616d501-e85d-4a62-a708-9f3060dee36d
25c29d97-4519-46cd-bf8e-c175717f4c91,Zwróć uwagę na prawidłowe oddychanie.,2616d501-e85d-4a62-a708-9f3060dee36d
c3d0e9fb-f5d0-4e35-a2b1-e7f3aae02d0a,Mięśnie brzucha powinny być mocno napięte przez cały czas trwania ćwiczenia.,50822726-7971-4cd3-8eef-9f949ca8bf94
d5a06274-5952-4549-a248-913886244629,Ćwiczenie wykonuj powoli"," z pełnym wyczuciem zaangażowanej grupy mięśniowej.,50822726-7971-4cd3-8eef-9f949ca8bf94
5a44a497-57fe-43ed-8617-0eb547cea674,Postaraj się skoncentrować napięcie na mięśniach brzucha"," rozluźniając nogi i stopy.,50822726-7971-4cd3-8eef-9f949ca8bf94
974a815c-ca32-4d1a-ab93-df673b8820be,Zwróć uwagę na prawidłowe oddychanie.,50822726-7971-4cd3-8eef-9f949ca8bf94
68851bea-9802-45da-ad2f-483059c8c1ab,Nie szarp ciężaru. Zarówno łokcie"," jak i ramiona są unieruchomione.,903d4cdd-db53-42ec-9719-813b53260c9f
0542d310-7d2b-43ce-99a5-131c4f1d1bd4,Tylko przedramiona są ruchome.,903d4cdd-db53-42ec-9719-813b53260c9f
88c6d125-f9ff-4432-9594-8d4b75eb0135,Każde powtórzenie wykonuj z pełnym rozciągnięciem mięśni.,903d4cdd-db53-42ec-9719-813b53260c9f
90c9368a-dc4a-420d-9315-324b72a9fb9a,Unikaj zginania pleców i bujania tułowiem.,903d4cdd-db53-42ec-9719-813b53260c9f
6744bf26-5e37-4c1d-bba7-eeed2f33a64b,Utrzymuj stałe napięcie mięśni.,2ed6f5cb-859c-4860-af02-ee0f322bc0c4
8b4bc148-7cb3-44ea-b269-2609cddf9803,Pamiętaj o dobraniu właściwego obciążenia.,2ed6f5cb-859c-4860-af02-ee0f322bc0c4
9d880c41-2b71-4767-85ae-242ae105e481,Bądź skoncentrowany.,2ed6f5cb-859c-4860-af02-ee0f322bc0c4
27227dfc-d188-46af-aeb5-0582af6c7835,Tempo: 1 sekunda w górę"," 2 sekundy w dół.,ef78836e-8689-49e0-84c3-869d73f57448
524409c9-968e-4f25-aa86-359af76f5ead,Stopy mocno wciśnij w podłogę.,ef78836e-8689-49e0-84c3-869d73f57448
4aca4bbc-7305-476e-96e5-39896d342093,Trzymaj głowę w równej linii z plecami,ef78836e-8689-49e0-84c3-869d73f57448
4050b5db-0e4c-4392-93cc-064f86965d76,Nie szarp ciężaru. Nie odrywaj łokci od pulpitu. Pamiętaj o spokojnym odłożeniu ciężaru.,ef78836e-8689-49e0-84c3-869d73f57448
923d355f-3503-4b94-8333-e221bb5798c2,Tempo: 1 sekunda w górę"," 2 sekundy w dół.,0e66c4bf-01ab-483c-b132-e5c690ae5439
d8168b76-2b0e-4e3c-8202-30cec1094b58,Stopy mocno wciśnięte w podłogę.,0e66c4bf-01ab-483c-b132-e5c690ae5439
05203c8d-64c8-437b-b3b1-ffb88749e5d5,Unikaj dynamicznego rozpędzania hantla i „wahadła”.,0e66c4bf-01ab-483c-b132-e5c690ae5439
5f908cab-7edb-417f-a2bf-03e2e05e94ea,Nie szarp ciężaru. Pamiętaj o spokojnym odłożeniu ciężaru.,0e66c4bf-01ab-483c-b132-e5c690ae5439
744099ad-beed-46b5-afd4-f593413b3093,Pamiętaj o utrzymaniu prostych pleców.,77232a81-9b74-409e-af67-ae9f14cad1fe
0ec6daf7-91e3-40e3-906c-ebeda02fc28d,Kontroluj ruch siadu.,77232a81-9b74-409e-af67-ae9f14cad1fe
28a2a35b-d6bb-429e-b2c5-85dc39a731f4,Nie bujaj tułowiem (trzymaj stabilnie w jednej linii).,77232a81-9b74-409e-af67-ae9f14cad1fe
bd61a678-77b9-4525-ae34-4315f167062c,Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).,77232a81-9b74-409e-af67-ae9f14cad1fe
8df79ea6-c9e1-42f5-a403-7bc97e5240d3,Wzrok skieruj przed siebie.,77232a81-9b74-409e-af67-ae9f14cad1fe
159a120c-9720-409c-bde2-04d837544e49,Nie wykonuj przeprostu w kolanach.,a187bbec-fce9-4743-8060-818ac6e972ed
becceadf-339a-4842-8e68-013da74b9cc6,Kontroluj ruch siadu.,a187bbec-fce9-4743-8060-818ac6e972ed
10791988-40a3-4c97-b9c7-871858e2eccc,Pamiętaj o prostych plecach oraz odcinku lędźwiowym.,a187bbec-fce9-4743-8060-818ac6e972ed
af152931-856a-462e-8490-f5e125fce2c2,Pamiętaj o prostych plecach oraz odcinku lędźwiowym.,207fe581-80ee-450e-806a-7a415070f9fa
24a7e6ec-15ad-4df1-84ce-b7e530463dc4,Nie wykonuj kociego grzbietu.,207fe581-80ee-450e-806a-7a415070f9fa
6e86afc6-54aa-4abd-9606-4ba8b3ffc071,Głowa w równej linii z plecami.,207fe581-80ee-450e-806a-7a415070f9fa
0732dc04-cf8c-4f53-8f06-09bd05cd3932,Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).,207fe581-80ee-450e-806a-7a415070f9fa
31f755d7-568c-4303-a2d6-992cfa9402e3,Plecy cały czas przylegają do oparcia maszyny.,df715c5d-4827-4366-8bb7-48c31ec9bb17
5a454bac-6459-4f98-be6d-48d9663492d3,Nie wykonuj przeprostu w kolanach.,df715c5d-4827-4366-8bb7-48c31ec9bb17
48855fb9-f9e1-4f15-bb5e-b582e3dddefe,Pamiętaj o stałym napięciu mięśni.,df715c5d-4827-4366-8bb7-48c31ec9bb17
02686efd-7ca4-405e-b348-03b0168fcc83,Powolnym i kontrolowanym ruchem uginaj kolana.,df715c5d-4827-4366-8bb7-48c31ec9bb17
c7fe6641-4f41-4041-8ffd-511e45b1cb43,Plecy cały czas przylegają do oparcia maszyny.,193e7498-85f1-411a-90b6-9bdc5bb714b0
99443f19-d3c2-4acf-8c14-b2de23d63903,Głowę trzymaj w równej linii z plecami.,193e7498-85f1-411a-90b6-9bdc5bb714b0
57a7b942-a19b-4262-873d-4f1cc1f09704,Pamiętaj o stałym napięciu mięśnia.,193e7498-85f1-411a-90b6-9bdc5bb714b0
0fd73601-d7ab-4c73-b2bd-d05247317dcd,Nie wykonuj przeprostu w kolanach.,193e7498-85f1-411a-90b6-9bdc5bb714b0
